year,cocnumber,doe_total_count,doe_unsheltered,doe_sheltered,doe_hotel_motel,doe_doubled_up
2014,CA-501,2666,35,721,322,1588
2016,CA-501,2410,48,711,275,1370
2015,CA-501,2512,40,643,350,1479
2017,CA-501,2308,42,509,210,1545
2016,CA-502,3686,97,522,262,2792
2015,CA-502,3480,67,398,175,2783
2014,CA-502,4528,277,493,282,3425
2017,CA-502,4456,140,502,283,3521
2016,CA-503,9723,139,666,571,8241
2017,CA-503,10822,269,731,800,9006
2014,CA-503,13537,221,882,506,11916
2015,CA-503,10197,114,613,460,8974
2017,CA-504,1143,32,281,29,700
2016,CA-504,883,54,202,19,428
2015,CA-504,1142,64,147,41,862
2014,CA-504,1789,66,142,63,1453
2015,CA-505,2573,120,253,129,2041
2017,CA-505,2637,130,305,199,1963
2014,CA-505,3434,450,273,100,2577
2016,CA-505,2339,118,240,146,1785
2015,CA-506,6476,169,233,121,5877
2014,CA-506,8189,518,281,175,7097
2017,CA-506,8455,378,323,173,7498
2016,CA-506,7791,317,238,131,6757
2015,CA-507,1262,0,58,3,1107
2017,CA-507,1119,0,49,5,850
2014,CA-507,1182,4,47,10,1114
2016,CA-507,1171,7,47,12,1043
2015,CA-508,2881,166,236,49,2413
2014,CA-508,2822,55,95,39,2606
2017,CA-508,3462,133,214,57,3034
2016,CA-508,3059,108,187,27,2702
2016,CA-509,660,55,51,34,501
2015,CA-509,548,22,16,30,366
2017,CA-509,790,27,52,60,600
2014,CA-509,654,19,53,14,463
2014,CA-510,7406,54,292,125,6831
2015,CA-510,4055,55,135,130,3613
2016,CA-510,3213,45,265,164,2619
2017,CA-510,3556,89,235,226,2897
2017,CA-511,3504,110,359,347,2655
2016,CA-511,2801,87,363,267,2071
2014,CA-511,3567,52,479,93,2808
2015,CA-511,2752,79,332,223,2113
2016,CA-512,2041,31,206,59,1675
2017,CA-512,2438,36,210,44,2068
2014,CA-512,2351,20,214,46,1968
2015,CA-512,1972,26,200,65,1621
2015,CA-513,4015,312,428,94,2991
2017,CA-513,3896,280,410,149,2740
2014,CA-513,6434,381,681,146,5012
2016,CA-513,3577,320,392,123,2626
2016,CA-514,5285,164,354,267,4387
2015,CA-514,4379,109,226,201,3637
2014,CA-514,8457,115,500,301,7085
2017,CA-514,5960,220,369,326,4556
2014,CA-515,2400,71,165,43,1881
2016,CA-515,2299,78,215,103,1843
2015,CA-515,1751,55,165,78,1369
2017,CA-515,2492,92,234,113,1964
2014,CA-516,1853,131,250,107,1122
2017,CA-516,1326,39,162,119,893
2015,CA-516,1200,23,185,119,797
2016,CA-516,1269,22,176,80,859
2016,CA-517,382,26,67,18,265
2014,CA-517,397,18,61,25,293
2015,CA-517,239,8,50,11,165
2017,CA-517,464,42,107,20,291
2015,CA-518,1197,20,124,85,732
2016,CA-518,1637,29,174,124,1295
2017,CA-518,1591,23,160,155,1236
2014,CA-518,1927,36,254,148,1469
2016,CA-519,1228,47,144,51,919
2015,CA-519,812,19,101,40,635
2017,CA-519,1376,44,140,74,1102
2014,CA-519,1214,53,221,56,825
2017,CA-520,1937,200,20,123,1517
2016,CA-520,1417,217,16,98,716
2014,CA-520,1798,203,31,45,1255
2015,CA-520,1178,199,21,36,881
2017,CA-521,924,15,51,123,671
2014,CA-521,1311,44,107,47,1065
2015,CA-521,857,15,72,25,686
2016,CA-521,903,13,90,57,722
2017,CA-522,1299,80,209,126,773
2016,CA-522,1157,55,215,135,675
2014,CA-522,1103,36,116,144,730
2015,CA-522,649,89,200,57,278
2014,CA-524,832,40,80,127,559
2016,CA-524,580,29,55,60,399
2015,CA-524,500,21,23,92,352
2017,CA-524,647,26,44,116,407
2014,CA-525,731,0,48,88,472
2017,CA-525,868,39,62,93,574
2016,CA-525,783,24,83,92,549
2015,CA-525,843,3,88,74,585
2014,CA-526,954,244,85,16,545
2015,CA-526,513,0,60,0,395
2016,CA-526,1501,13,722,9,664
2017,CA-526,719,19,73,24,452
2017,CA-527,486,14,6,25,425
2014,CA-527,582,14,33,13,500
2015,CA-527,274,0,0,12,232
2016,CA-527,403,12,15,21,344
2017,CA-529,320,38,22,5,255
2016,CA-529,336,23,16,8,274
2015,CA-529,458,23,15,9,409
2014,CA-529,648,31,18,30,569
2014,CA-530,162,12,18,9,117
2016,CA-530,116,35,29,8,33
2017,CA-530,98,37,10,5,35
2015,CA-530,31,20,0,8,0
2015,CA-600,42345,1766,2482,1511,36401
2014,CA-600,60026,3463,4383,3407,48561
2016,CA-600,47456,2694,3360,2069,38719
2017,CA-600,58573,4839,4276,3325,45734
2016,CA-601,20648,617,1770,992,17088
2014,CA-601,24266,743,3272,871,19281
2017,CA-601,20824,629,1910,1102,17089
2015,CA-601,19784,445,2267,651,16370
2014,CA-602,33951,245,1757,1251,30582
2016,CA-602,26307,285,1111,1192,23665
2017,CA-602,26334,344,1016,1365,23444
2015,CA-602,25202,228,1148,969,22789
2015,CA-603,7515,54,185,71,7168
2016,CA-603,8605,76,271,95,8142
2014,CA-603,9572,63,259,120,9058
2017,CA-603,8106,100,205,112,7651
2016,CA-604,6217,11,556,210,5260
2017,CA-604,5675,27,488,291,4609
2014,CA-604,8227,34,251,151,7330
2015,CA-604,6388,30,622,190,5456
2016,CA-606,6024,61,387,273,5303
2015,CA-606,5118,36,364,233,4485
2017,CA-606,7068,66,339,265,6398
2014,CA-606,5266,34,492,267,4473
2017,CA-607,797,48,129,40,580
2016,CA-607,543,25,84,27,407
2015,CA-607,946,50,148,42,706
2014,CA-607,1010,0,141,0,837
2016,CA-608,22398,245,904,401,20737
2014,CA-608,27177,320,829,303,25677
2017,CA-608,21853,404,776,610,20053
2015,CA-608,21631,229,858,320,20150
2014,CA-609,39111,1000,907,695,36162
2017,CA-609,33871,433,970,1192,30838
2016,CA-609,34695,445,1050,923,32150
2015,CA-609,30552,316,618,675,28846
2014,CA-611,6926,107,210,200,5945
2017,CA-611,4017,144,185,156,3486
2015,CA-611,2953,55,109,144,2458
2016,CA-611,3675,92,193,168,2788
2014,CA-612,1790,3,96,34,1657
2015,CA-612,1430,6,69,47,1308
2017,CA-612,2041,10,53,43,1935
2016,CA-612,1757,8,60,34,1655
2017,CA-613,1431,6,131,51,1195
2015,CA-613,1706,3,129,35,1394
2016,CA-613,1894,0,157,22,1510
2014,CA-613,2134,31,134,47,1803
2016,CA-614,3286,308,179,152,2547
2014,CA-614,2936,238,138,143,2201
2017,CA-614,3208,284,191,88,2541
2015,CA-614,2878,271,171,135,2251
2015,CO-500,7051,315,493,405,5547
2017,CO-500,7048,444,455,513,5326
2014,CO-500,7462,230,1302,333,5351
2016,CO-500,7043,307,563,450,5479
2017,CO-503,12066,473,1774,825,8939
2014,CO-503,14395,226,1990,1694,10388
2015,CO-503,15060,322,2110,1482,11073
2016,CO-503,14169,326,1982,1364,10420
2014,CO-504,1792,36,375,264,1107
2015,CO-504,2017,57,368,339,1202
2016,CO-504,1777,93,269,308,1092
2017,CO-504,1925,122,356,333,1067
2016,CT-503,468,0,242,33,171
2015,CT-503,267,0,153,16,65
2017,CT-503,566,17,251,11,244
2014,CT-503,336,0,193,22,102
2017,CT-505,3860,19,730,323,2478
2015,CT-505,2884,6,564,229,1784
2016,CT-505,3366,0,704,250,2068
2014,CT-505,2578,3,497,180,1575
2017,DC-500,6576,105,2118,467,3567
2014,DC-500,3719,12,865,13,1751
2015,DC-500,3518,44,1494,239,1505
2016,DC-500,6550,111,2575,317,2721
2017,DE-500,3320,19,91,480,2613
2015,DE-500,3091,0,137,450,2302
2016,DE-500,3221,3,115,549,2424
2014,DE-500,4346,8,217,528,3345
2016,FL-500,2443,41,374,202,1826
2014,FL-500,2773,37,329,290,2117
2015,FL-500,2742,45,276,336,2085
2017,FL-500,2697,61,328,246,2062
2014,FL-501,3229,66,314,374,2475
2017,FL-501,3207,106,459,505,2137
2016,FL-501,3311,108,433,424,2346
2015,FL-501,3803,99,428,383,2893
2015,FL-502,3756,45,689,481,2541
2017,FL-502,4009,65,681,493,2770
2016,FL-502,3501,82,554,480,2385
2014,FL-502,3035,33,548,445,2009
2015,FL-503,3774,204,365,428,2777
2017,FL-503,3318,83,290,468,2477
2016,FL-503,3841,194,286,474,2887
2014,FL-503,4001,229,304,509,2959
2017,FL-504,2860,78,223,321,2238
2015,FL-504,2929,62,216,356,2295
2016,FL-504,2676,64,206,319,2087
2014,FL-504,2775,34,228,257,2256
2017,FL-505,904,21,343,47,493
2015,FL-505,780,21,88,51,620
2016,FL-505,1090,37,121,75,857
2014,FL-505,846,18,94,52,674
2014,FL-506,2449,92,223,72,1990
2016,FL-506,2034,58,230,57,1604
2017,FL-506,1842,170,264,60,1320
2015,FL-506,1986,122,240,69,1543
2016,FL-507,12391,202,689,2900,8600
2015,FL-507,13506,214,712,2992,9588
2017,FL-507,11067,174,474,2999,7407
2014,FL-507,13723,174,766,2770,10013
2016,FL-508,1899,66,238,108,1487
2015,FL-508,1835,51,230,91,1453
2014,FL-508,1982,67,214,111,1586
2017,FL-508,1950,63,237,109,1525
2016,FL-509,1293,22,261,117,873
2014,FL-509,1131,30,286,81,716
2017,FL-509,1520,35,305,162,1018
2015,FL-509,1207,28,321,88,748
2015,FL-510,3745,71,554,287,2833
2017,FL-510,4468,94,356,400,3618
2014,FL-510,3646,45,606,331,2664
2016,FL-510,3537,77,309,283,2868
2017,FL-511,2719,36,170,148,2365
2015,FL-511,3625,24,231,191,3179
2014,FL-511,3819,39,250,232,3298
2016,FL-511,3174,36,206,192,2740
2014,FL-512,814,31,106,78,597
2015,FL-512,829,16,114,90,606
2016,FL-512,832,25,114,96,597
2017,FL-512,904,28,114,70,687
2015,FL-513,1842,43,150,225,1424
2014,FL-513,1686,50,175,194,1267
2016,FL-513,1969,79,169,188,1533
2017,FL-513,2261,111,159,228,1763
2014,FL-514,2374,24,232,232,1886
2015,FL-514,2685,38,261,274,2112
2016,FL-514,2493,29,222,269,1973
2017,FL-514,2426,38,193,280,1915
2015,FL-515,1962,41,109,172,1611
2014,FL-515,1615,57,125,147,1271
2017,FL-515,2061,80,75,196,1620
2016,FL-515,2052,44,77,204,1715
2017,FL-517,1988,42,133,21,1287
2014,FL-517,2034,51,59,19,1903
2015,FL-517,1867,58,46,9,1732
2016,FL-517,1837,62,64,29,1302
2016,FL-518,1435,123,98,41,1137
2017,FL-518,1503,108,85,84,1226
2015,FL-518,1399,135,134,63,1031
2014,FL-518,1284,112,76,66,995
2015,FL-519,2174,59,333,208,1574
2016,FL-519,2087,42,307,223,1515
2017,FL-519,1972,74,262,238,1398
2014,FL-519,2066,66,316,175,1509
2015,FL-520,3415,71,290,256,2798
2014,FL-520,4154,45,337,275,3497
2016,FL-520,3694,79,500,325,2790
2017,FL-520,3743,84,385,356,2918
2014,FL-600,3193,36,946,177,2034
2017,FL-600,8036,274,1424,400,5938
2016,FL-600,6079,213,1111,295,4460
2015,FL-600,3972,162,1044,212,2554
2017,FL-601,2866,96,411,446,1899
2016,FL-601,2443,52,538,240,1607
2015,FL-601,2531,58,537,279,1650
2014,FL-601,2476,108,471,264,1623
2014,FL-602,518,14,49,34,421
2015,FL-602,503,12,65,55,371
2016,FL-602,427,11,69,42,305
2017,FL-602,453,29,59,61,304
2015,FL-603,1248,33,292,183,740
2016,FL-603,1288,43,186,225,834
2014,FL-603,1296,54,382,150,710
2017,FL-603,1496,55,139,297,1005
2016,FL-604,384,19,102,11,252
2014,FL-604,382,8,117,8,249
2015,FL-604,456,19,123,13,301
2017,FL-604,360,30,68,7,255
2014,FL-605,2986,121,667,215,1973
2017,FL-605,4315,131,673,308,3203
2015,FL-605,3756,113,870,275,2496
2016,FL-605,3763,123,797,281,2555
2016,FL-606,802,8,207,65,522
2017,FL-606,896,22,155,37,682
2014,FL-606,841,7,141,51,642
2015,FL-606,778,7,165,56,550
2016,GA-500,4642,48,1009,674,2911
2014,GA-500,4273,33,927,627,2686
2017,GA-500,3669,53,607,724,2285
2015,GA-500,4501,35,959,701,2798
2015,GA-501,26979,436,1900,3927,19494
2017,GA-501,29396,459,1687,4397,21318
2016,GA-501,28346,499,1836,4105,20807
2014,GA-501,26623,495,1712,3436,19363
2017,GA-502,10,0,0,0,0
2014,GA-502,4,0,0,0,0
2016,GA-502,11,0,0,0,0
2015,GA-502,7,0,0,0,0
2017,GA-503,700,6,102,117,475
2016,GA-503,577,18,123,86,350
2014,GA-503,494,5,56,61,372
2015,GA-503,696,12,110,92,482
2015,GA-504,218,3,63,25,127
2014,GA-504,245,0,57,0,148
2017,GA-504,318,0,104,65,149
2016,GA-504,284,8,71,59,146
2016,GA-505,1240,6,102,126,1006
2014,GA-505,1584,9,70,101,1404
2015,GA-505,1838,10,76,101,1651
2017,GA-505,1095,9,96,127,863
2016,GA-506,2162,23,126,858,1085
2015,GA-506,2064,13,130,839,1031
2014,GA-506,1888,9,176,568,1065
2017,GA-506,2110,30,188,757,1135
2016,GA-507,783,8,109,166,500
2014,GA-507,973,50,142,179,602
2017,GA-507,749,19,127,130,473
2015,GA-507,744,20,100,171,453
2014,GA-508,1873,64,175,554,1080
2015,GA-508,2049,91,176,632,1150
2017,GA-508,1893,72,123,654,1042
2016,GA-508,1637,77,143,608,805
2016,HI-501,3790,430,1247,5,2108
2017,HI-501,2958,298,843,16,1794
2015,HI-501,3526,287,1021,14,2204
2014,HI-501,2634,298,904,32,1400
2017,IA-500,482,17,183,18,252
2014,IA-500,363,0,101,46,207
2015,IA-500,428,9,111,71,237
2016,IA-500,484,0,157,22,260
2015,IA-501,4698,75,782,325,3041
2016,IA-501,4538,52,767,224,2951
2014,IA-501,4383,55,763,297,2820
2017,IA-501,4497,69,810,209,2952
2017,IA-502,1546,11,322,89,1117
2014,IA-502,1418,12,346,57,893
2016,IA-502,1496,14,320,81,1041
2015,IA-502,1477,23,314,112,1010
2015,ID-500,1621,95,149,76,1280
2016,ID-500,1405,60,126,87,1110
2014,ID-500,1498,37,120,56,1241
2017,ID-500,1582,61,128,81,1288
2016,ID-501,5984,167,380,297,4734
2014,ID-501,4930,174,297,217,3904
2017,ID-501,6200,202,336,293,4996
2015,ID-501,5500,133,350,159,4302
2014,IL-500,833,0,42,15,636
2016,IL-500,772,4,63,16,560
2017,IL-500,929,6,54,43,742
2015,IL-500,937,9,48,36,764
2014,IL-501,2505,11,82,61,2316
2016,IL-501,2720,24,125,61,2474
2015,IL-501,2596,18,108,96,2316
2017,IL-501,2888,9,97,68,2631
2015,IL-502,1283,7,102,85,979
2016,IL-502,1275,20,130,48,897
2017,IL-502,1368,22,155,117,966
2014,IL-502,1068,8,98,67,764
2016,IL-503,519,3,83,41,336
2015,IL-503,458,0,35,63,320
2014,IL-503,606,56,65,22,227
2017,IL-503,624,32,92,44,424
2016,IL-504,1289,3,83,0,690
2014,IL-504,1715,5,99,35,1428
2015,IL-504,1478,3,225,17,1098
2017,IL-504,1087,0,41,19,688
2016,IL-506,2266,3,283,152,1590
2015,IL-506,2067,19,181,151,1417
2014,IL-506,2102,8,166,137,1461
2017,IL-506,2153,3,111,96,1542
2015,IL-507,1455,24,258,41,965
2016,IL-507,1245,5,109,3,961
2014,IL-507,2000,3,505,149,1138
2017,IL-507,1391,3,128,7,1181
2017,IL-508,1374,15,62,51,1156
2015,IL-508,1474,12,82,58,1188
2016,IL-508,1565,28,103,82,1249
2014,IL-508,1325,5,81,65,1111
2017,IL-509,303,3,65,6,221
2015,IL-509,342,0,0,0,158
2014,IL-509,324,3,84,4,199
2016,IL-509,265,0,60,0,198
2016,IL-510,18537,213,2154,125,15888
2015,IL-510,19919,111,2328,129,17336
2017,IL-510,17912,60,2268,677,14891
2014,IL-510,21626,131,2249,146,18805
2016,IL-511,6596,26,585,229,4908
2014,IL-511,6457,42,552,282,4643
2015,IL-511,6831,41,530,244,4975
2017,IL-511,6858,26,751,294,4970
2015,IL-512,1600,5,169,80,992
2014,IL-512,1514,0,167,37,1075
2017,IL-512,1723,10,149,52,1178
2016,IL-512,1618,3,133,61,1237
2015,IL-513,832,4,122,49,593
2016,IL-513,705,5,99,50,481
2014,IL-513,939,9,128,64,714
2017,IL-513,735,0,148,8,491
2014,IL-514,1357,30,258,110,773
2016,IL-514,1486,9,268,175,859
2017,IL-514,1507,3,286,128,965
2015,IL-514,1356,8,270,93,760
2014,IL-515,1844,0,59,20,1068
2015,IL-515,1789,0,104,12,1403
2016,IL-515,2058,0,138,20,1490
2017,IL-515,2301,0,168,32,1381
2015,IL-516,127,0,3,0,96
2017,IL-516,232,0,24,0,190
2014,IL-516,237,6,23,7,187
2016,IL-516,359,4,31,14,268
2017,IL-517,1997,4,184,103,1651
2016,IL-517,1712,9,186,121,1356
2014,IL-517,1682,10,170,81,1302
2015,IL-517,1725,5,171,142,1335
2016,IL-518,1677,6,232,44,1063
2014,IL-518,1767,13,268,64,1124
2017,IL-518,1666,11,165,55,1136
2015,IL-518,1707,14,215,48,1037
2016,IL-519,684,0,87,0,389
2015,IL-519,860,3,131,12,399
2017,IL-519,692,0,91,44,404
2014,IL-519,850,0,131,3,574
2014,IL-520,4607,30,435,102,3247
2016,IL-520,4518,12,363,109,3099
2017,IL-520,4859,39,242,82,3318
2015,IL-520,4351,27,327,67,3187
2014,IN-500,178,0,149,8,13
2016,IN-500,271,0,191,0,3
2015,IN-500,204,0,141,9,50
2017,IN-500,429,0,215,7,186
2014,IN-502,12271,105,1181,734,9415
2016,IN-502,12298,61,1497,702,9119
2017,IN-502,12574,96,1776,565,8885
2015,IN-502,12598,144,1556,598,9174
2016,IN-503,5066,119,430,373,4035
2014,IN-503,5274,76,461,344,4294
2017,IN-503,5240,3,460,383,4202
2015,IN-503,6089,163,564,403,4643
2015,KS-502,2621,15,295,134,2167
2016,KS-502,3001,28,265,186,2483
2014,KS-502,2848,9,231,154,2383
2017,KS-502,2556,21,362,115,2014
2015,KS-503,477,0,54,0,393
2014,KS-503,547,3,86,25,421
2017,KS-503,554,0,72,5,457
2016,KS-503,672,3,102,29,534
2015,KS-505,1109,11,119,56,877
2014,KS-505,1254,16,125,57,927
2017,KS-505,1103,5,111,60,869
2016,KS-505,1095,11,96,65,893
2016,KS-507,4200,42,214,245,3127
2017,KS-507,4041,90,368,184,2882
2014,KS-507,4254,39,258,163,3219
2015,KS-507,4231,29,282,148,3233
2015,KY-500,22657,1128,1691,558,17322
2017,KY-500,21980,1497,1277,631,17630
2014,KY-500,22377,1112,2935,623,15668
2016,KY-500,22479,1640,1513,685,17735
2016,KY-501,6025,116,2008,322,3579
2015,KY-501,6475,42,1793,359,4210
2014,KY-501,8087,9,2799,343,4291
2017,KY-501,5766,1689,830,224,3023
2014,KY-502,739,0,90,0,614
2016,KY-502,1027,21,127,55,824
2017,KY-502,976,17,100,45,814
2015,KY-502,795,7,124,30,601
2014,LA-500,2534,33,197,30,1911
2016,LA-500,2009,35,139,74,1695
2017,LA-500,2367,80,198,217,1864
2015,LA-500,2326,26,201,89,1707
2014,LA-502,3275,62,317,206,2480
2017,LA-502,2991,89,292,172,2438
2015,LA-502,3199,22,197,200,2652
2016,LA-502,3038,53,283,199,2477
2014,LA-503,3841,174,96,21,3222
2015,LA-503,4202,233,131,44,3552
2016,LA-503,3832,109,210,28,2687
2017,LA-503,4227,21,250,60,3400
2014,LA-504,2183,41,98,80,1944
2017,LA-504,6886,198,970,337,5253
2015,LA-504,2204,41,121,76,1563
2016,LA-504,1755,22,119,78,1499
2016,LA-505,1583,6,102,81,1307
2015,LA-505,877,0,31,11,704
2017,LA-505,583,0,28,30,445
2014,LA-505,915,0,62,35,564
2016,LA-506,1862,91,65,96,1548
2015,LA-506,1601,76,48,97,1283
2017,LA-506,7921,297,2814,304,4503
2014,LA-506,1617,115,42,76,1252
2015,LA-507,1480,105,141,0,991
2014,LA-507,1390,81,79,44,1021
2016,LA-507,1735,11,302,4,1147
2017,LA-507,1937,0,351,21,1268
2015,LA-508,2131,53,99,58,1881
2017,LA-508,2180,33,123,41,1681
2014,LA-508,2215,50,129,85,1885
2016,LA-508,2276,57,117,54,2045
2014,LA-509,2424,417,153,38,1426
2016,LA-509,2289,429,57,41,1716
2015,LA-509,2251,458,54,48,1381
2017,LA-509,1776,160,47,35,1423
2016,MA-500,4067,65,2153,663,1125
2015,MA-500,3037,73,1355,691,867
2017,MA-500,3354,7,2681,93,520
2014,MA-500,2455,0,1116,673,599
2016,MA-502,990,0,360,44,586
2015,MA-502,942,3,304,115,520
2017,MA-502,1053,0,415,22,616
2014,MA-502,793,0,221,0,471
2014,MA-503,352,3,74,57,156
2016,MA-503,354,3,101,30,185
2017,MA-503,401,5,71,26,236
2015,MA-503,361,3,83,27,150
2015,MA-504,2561,0,1109,593,817
2017,MA-504,2570,0,1422,58,1048
2014,MA-504,2290,0,778,721,748
2016,MA-504,2692,0,1205,76,1174
2016,MA-505,645,8,251,48,335
2015,MA-505,461,4,228,24,187
2017,MA-505,1033,0,333,0,647
2014,MA-505,397,3,168,57,164
2014,MA-506,4194,29,1244,260,2491
2017,MA-506,4823,21,1338,125,3146
2016,MA-506,4607,23,1341,202,2932
2015,MA-506,4426,27,1289,275,2695
2015,MA-507,636,3,130,173,255
2016,MA-507,555,0,90,81,265
2017,MA-507,521,0,140,0,250
2014,MA-507,682,0,76,162,283
2015,MA-508,458,0,217,5,155
2016,MA-508,560,0,235,61,260
2017,MA-508,752,0,360,59,323
2014,MA-508,357,0,138,98,112
2017,MA-509,234,0,75,10,149
2015,MA-509,233,0,57,8,152
2016,MA-509,280,0,83,18,172
2014,MA-509,163,0,38,0,117
2016,MA-510,1064,12,329,168,482
2017,MA-510,1255,15,437,98,661
2014,MA-510,989,10,254,236,391
2015,MA-510,1058,14,235,232,490
2015,MA-511,1515,0,579,335,542
2014,MA-511,1282,10,379,277,521
2016,MA-511,1320,6,441,261,550
2017,MA-511,1161,5,454,85,552
2014,MA-515,440,0,141,79,220
2015,MA-515,396,0,201,52,138
2016,MA-515,355,0,172,31,152
2017,MA-515,438,4,183,29,210
2015,MA-516,1460,9,615,202,546
2014,MA-516,1342,8,571,208,452
2016,MA-516,1618,11,616,245,658
2017,MA-516,1722,27,673,133,756
2016,MA-517,107,0,43,14,50
2014,MA-517,101,0,41,17,43
2015,MA-517,105,0,30,14,59
2017,MA-517,139,0,77,6,56
2014,MA-518,216,0,59,67,85
2017,MA-518,209,0,61,35,101
2015,MA-518,314,3,81,98,132
2016,MA-518,259,0,50,94,94
2014,MA-519,540,0,170,136,180
2016,MA-519,664,0,211,187,186
2015,MA-519,579,0,224,138,156
2017,MA-519,506,4,169,30,272
2014,MA-599,857,3,124,278,302
2017,MA-599,638,7,209,34,254
2016,MA-599,726,0,205,175,223
2015,MA-599,725,0,186,239,213
2016,MD-500,145,0,34,0,95
2017,MD-500,85,0,21,0,54
2014,MD-500,78,0,19,0,54
2015,MD-500,83,0,16,0,58
2017,MD-501,2662,0,158,0,2397
2015,MD-501,2079,0,179,0,1895
2016,MD-501,1992,93,192,17,1688
2014,MD-501,2534,0,240,0,2290
2016,MD-502,385,36,92,76,181
2015,MD-502,437,26,66,93,252
2017,MD-502,411,41,75,72,223
2014,MD-502,461,40,80,104,237
2015,MD-503,1323,6,119,155,1043
2014,MD-503,1193,14,113,218,848
2016,MD-503,1122,0,114,0,902
2017,MD-503,1163,9,104,96,954
2014,MD-504,505,3,32,94,376
2017,MD-504,487,11,94,106,276
2015,MD-504,454,7,47,85,315
2016,MD-504,510,12,96,113,289
2017,MD-505,3009,24,225,215,2545
2016,MD-505,2984,41,248,257,2438
2015,MD-505,2689,14,232,229,2214
2014,MD-505,2625,23,253,174,2175
2014,MD-506,168,12,39,31,86
2016,MD-506,165,7,35,31,92
2017,MD-506,192,8,48,39,97
2015,MD-506,184,10,59,20,95
2017,MD-507,1001,3,62,101,835
2014,MD-507,711,3,31,77,600
2016,MD-507,891,8,43,78,762
2015,MD-507,826,3,24,91,708
2017,MD-508,1006,13,82,136,752
2015,MD-508,980,11,46,145,721
2016,MD-508,907,14,34,174,657
2014,MD-508,1031,3,61,114,809
2017,MD-509,829,13,59,104,653
2016,MD-509,812,9,59,95,649
2015,MD-509,841,51,107,97,586
2014,MD-509,844,97,47,121,579
2016,MD-510,59,0,9,0,50
2014,MD-510,26,0,0,0,0
2017,MD-510,39,0,0,0,0
2015,MD-510,53,3,5,3,42
2014,MD-511,475,0,34,23,405
2016,MD-511,650,0,33,15,581
2017,MD-511,743,3,64,29,630
2015,MD-511,531,3,21,12,477
2017,MD-512,812,9,122,151,530
2016,MD-512,724,0,0,130,486
2014,MD-512,551,3,119,69,360
2015,MD-512,743,7,172,106,458
2015,MD-513,1520,56,95,74,1243
2016,MD-513,1147,28,81,101,887
