local_education_agency_identifier,school_year,state_name,state_fips,state_school_district_identifier,district_name,total_homeless_students,hotel_motel_count,unsheltered_count,sheltered_count,doubled_up_count
100005,2016-2017,Alabama,1,AL-101,Albertville City,61,,,,53
100006,2016-2017,Alabama,1,AL-048,Marshall County,261,3,,,258
100007,2016-2017,Alabama,1,AL-158,Hoover City,62,22,,7,33
100008,2016-2017,Alabama,1,AL-169,Madison City,86,24,,7,55
100011,2016-2017,Alabama,1,AL-167,Leeds City,135,,,4,131
100012,2016-2017,Alabama,1,AL-115,Boaz City,53,,5,,48
100013,2016-2017,Alabama,1,AL-205,Trussville City,4,,,,
100030,2016-2017,Alabama,1,AL-102,Alexander City,13,,,,
100060,2016-2017,Alabama,1,AL-104,Andalusia City,5,,,,
100090,2016-2017,Alabama,1,AL-105,Anniston City,153,,,,
100100,2016-2017,Alabama,1,AL-106,Arab City,21,,,,19
100120,2016-2017,Alabama,1,AL-107,Athens City,72,,,,60
100180,2016-2017,Alabama,1,AL-109,Attalla City,173,,,,147
100185,2016-2017,Alabama,1,AL-187,Saraland City,14,,,,8
100188,2016-2017,Alabama,1,AL-121,Chickasaw City,50,3,,4,43
100189,2016-2017,Alabama,1,AL-196,Satsuma City,16,,,,13
100190,2016-2017,Alabama,1,AL-103,Alabaster City,40,5,,11,24
100194,2016-2017,Alabama,1,AL-177,Pelham City,17,,,,12
100210,2016-2017,Alabama,1,AL-110,Auburn City,24,6,,,18
100240,2016-2017,Alabama,1,AL-001,Autauga County,49,7,,,40
100270,2016-2017,Alabama,1,AL-002,Baldwin County,383,16,6,58,303
100300,2016-2017,Alabama,1,AL-003,Barbour County,7,3,,,4
100330,2016-2017,Alabama,1,AL-113,Bessemer City,281,32,,,229
100360,2016-2017,Alabama,1,AL-004,Bibb County,40,,,,38
100390,2016-2017,Alabama,1,AL-114,Birmingham City,191,13,10,23,145
100420,2016-2017,Alabama,1,AL-005,Blount County,140,,,,
100480,2016-2017,Alabama,1,AL-006,Bullock County,9,,,,9
100510,2016-2017,Alabama,1,AL-007,Butler County,168,,,3,165
100540,2016-2017,Alabama,1,AL-008,Calhoun County,134,,,,120
100600,2016-2017,Alabama,1,AL-009,Chambers County,20,,,,
100630,2016-2017,Alabama,1,AL-010,Cherokee County,444,,284,,147
100660,2016-2017,Alabama,1,AL-011,Chilton County,8,,,,8
100690,2016-2017,Alabama,1,AL-012,Choctaw County,5,,,,5
100720,2016-2017,Alabama,1,AL-013,Clarke County,14,,,,14
100750,2016-2017,Alabama,1,AL-014,Clay County,7,,,,
100780,2016-2017,Alabama,1,AL-015,Cleburne County,32,,,,25
100810,2016-2017,Alabama,1,AL-016,Coffee County,69,,6,,63
100840,2016-2017,Alabama,1,AL-017,Colbert County,310,,,10,291
100960,2016-2017,Alabama,1,AL-021,Crenshaw County,6,,,,6
100990,2016-2017,Alabama,1,AL-125,Cullman City,13,,,,10
101020,2016-2017,Alabama,1,AL-022,Cullman County,21,,,,21
101050,2016-2017,Alabama,1,AL-023,Dale County,4,,,,
101110,2016-2017,Alabama,1,AL-024,Dallas County,174,,88,,86
101140,2016-2017,Alabama,1,AL-025,Dekalb County,361,10,28,10,313
101170,2016-2017,Alabama,1,AL-127,Decatur City,61,12,,10,39
101230,2016-2017,Alabama,1,AL-130,Dothan City,198,33,,20,145
101260,2016-2017,Alabama,1,AL-131,Elba City,88,,,,88
101290,2016-2017,Alabama,1,AL-026,Elmore County,116,3,3,5,105
101320,2016-2017,Alabama,1,AL-132,Enterprise City,172,4,,9,159
101350,2016-2017,Alabama,1,AL-027,Escambia County,16,,4,6,6
101380,2016-2017,Alabama,1,AL-028,Etowah County,43,,,9,29
101410,2016-2017,Alabama,1,AL-133,Eufaula City,29,12,,4,13
101440,2016-2017,Alabama,1,AL-137,Fairfield City,439,4,,,435
101470,2016-2017,Alabama,1,AL-029,Fayette County,33,,,6,27
101530,2016-2017,Alabama,1,AL-141,Florence City,132,,,13,115
101620,2016-2017,Alabama,1,AL-144,Gadsden City,50,,,,42
101660,2016-2017,Alabama,1,AL-031,Geneva County,20,,,,
101680,2016-2017,Alabama,1,AL-032,Greene County,5,,,,
101690,2016-2017,Alabama,1,AL-154,Guntersville City,167,,24,,141
101710,2016-2017,Alabama,1,AL-033,Hale County,3,,,,3
101720,2016-2017,Alabama,1,AL-155,Haleyville City,4,,,,
101730,2016-2017,Alabama,1,AL-156,Hartselle City,39,,3,,36
101740,2016-2017,Alabama,1,AL-034,Henry County,3,,,,3
101760,2016-2017,Alabama,1,AL-157,Homewood City,8,,,,8
101770,2016-2017,Alabama,1,AL-035,Houston County,11,,,,7
101800,2016-2017,Alabama,1,AL-159,Huntsville City,208,53,8,48,99
101830,2016-2017,Alabama,1,AL-036,Jackson County,12,,,,
101860,2016-2017,Alabama,1,AL-162,Jacksonville City,10,,,,
101890,2016-2017,Alabama,1,AL-163,Jasper City,10,,,,10
101920,2016-2017,Alabama,1,AL-037,Jefferson County,226,26,6,8,186
102010,2016-2017,Alabama,1,AL-039,Lauderdale County,122,8,,,107
102040,2016-2017,Alabama,1,AL-040,Lawrence County,254,,33,16,205
102070,2016-2017,Alabama,1,AL-041,Lee County,7,,,,7
102100,2016-2017,Alabama,1,AL-042,Limestone County,44,,,3,38
102130,2016-2017,Alabama,1,AL-168,Linden City,3,3,,,
102160,2016-2017,Alabama,1,AL-043,Lowndes County,192,17,5,4,166
102190,2016-2017,Alabama,1,AL-044,Macon County,56,,,,56
102220,2016-2017,Alabama,1,AL-045,Madison County,184,9,4,5,166
102310,2016-2017,Alabama,1,AL-047,Marion County,53,3,,5,45
102350,2016-2017,Alabama,1,AL-171,Midfield City,211,5,,,206
102370,2016-2017,Alabama,1,AL-049,Mobile County,5696,137,57,233,5269
102430,2016-2017,Alabama,1,AL-051,Montgomery County,850,53,8,69,720
102480,2016-2017,Alabama,1,AL-052,Morgan County,32,4,,8,20
102550,2016-2017,Alabama,1,AL-178,Oneonta City,6,,,,
102635,2016-2017,Alabama,1,AL-181,Oxford City,94,,,10,78
102640,2016-2017,Alabama,1,AL-182,Ozark City,37,9,,,19
102650,2016-2017,Alabama,1,AL-183,Pell City,27,,,,24
102670,2016-2017,Alabama,1,AL-053,Perry County,231,,,,
102700,2016-2017,Alabama,1,AL-184,Phenix City,63,,,6,51
102730,2016-2017,Alabama,1,AL-054,Pickens County,3,,,,3
102760,2016-2017,Alabama,1,AL-185,Piedmont City,3,,,,
102790,2016-2017,Alabama,1,AL-055,Pike County,73,,,,73
102820,2016-2017,Alabama,1,AL-056,Randolph County,15,,,,15
102880,2016-2017,Alabama,1,AL-057,Russell County,8,,,,8
102970,2016-2017,Alabama,1,AL-191,Selma City,164,30,,6,128
103030,2016-2017,Alabama,1,AL-059,Shelby County,224,23,5,24,172
103062,2016-2017,Alabama,1,AL-058,St Clair County,82,4,,7,71
103090,2016-2017,Alabama,1,AL-060,Sumter County,30,,,3,27
103120,2016-2017,Alabama,1,AL-193,Sylacauga City,17,,,,17
103150,2016-2017,Alabama,1,AL-194,Talladega City,10,,,3,7
103180,2016-2017,Alabama,1,AL-061,Talladega County,38,,,4,34
103270,2016-2017,Alabama,1,AL-197,Tarrant City,18,,,,
103300,2016-2017,Alabama,1,AL-198,Thomasville City,8,,,,5
103330,2016-2017,Alabama,1,AL-199,Troy City,46,,,,46
103360,2016-2017,Alabama,1,AL-200,Tuscaloosa City,293,42,,16,235
103390,2016-2017,Alabama,1,AL-063,Tuscaloosa County,139,11,,,117
103430,2016-2017,Alabama,1,AL-202,Vestavia Hills City,3,,,,
103450,2016-2017,Alabama,1,AL-064,Walker County,154,,6,,144
103480,2016-2017,Alabama,1,AL-065,Washington County,64,,,,61
103510,2016-2017,Alabama,1,AL-066,Wilcox County,93,,,,
200001,2016-2017,Alaska,2,AK-31,Lower Kuskokwim School District,24,,,,
200003,2016-2017,Alaska,2,AK-32,Lower Yukon School District,31,,,,31
200020,2016-2017,Alaska,2,AK-07,Bering Strait School District,6,,,,6
200060,2016-2017,Alaska,2,AK-12,Cordova City School District,4,,,,
200100,2016-2017,Alaska,2,AK-14,Delta-Greely School District,6,,,,
200150,2016-2017,Alaska,2,AK-25,Ketchikan Gateway Borough School District,23,3,4,9,7
200180,2016-2017,Alaska,2,AK-05,Anchorage School District,2471,166,168,454,1683
200210,2016-2017,Alaska,2,AK-22,Juneau Borough School District,184,13,3,47,121
200240,2016-2017,Alaska,2,AK-42,Sitka School District,28,,6,3,19
200300,2016-2017,Alaska,2,AK-19,Hoonah City School District,21,,,,21
200360,2016-2017,Alaska,2,AK-23,Kake City School District,11,,,,11
200390,2016-2017,Alaska,2,AK-24,Kenai Peninsula Borough School District,251,15,44,22,170
200480,2016-2017,Alaska,2,AK-28,Kodiak Island Borough School District,21,,,,16
200510,2016-2017,Alaska,2,AK-33,Matanuska-Susitna Borough School District,514,20,116,56,322
200540,2016-2017,Alaska,2,AK-34,Nenana City School District,33,,,30,3
200570,2016-2017,Alaska,2,AK-35,Nome Public Schools,15,,,7,8
200600,2016-2017,Alaska,2,AK-16,Fairbanks North Star Borough School District,434,12,67,98,257
200610,2016-2017,Alaska,2,AK-36,North Slope Borough School District,21,,,,
200780,2016-2017,Alaska,2,AK-48,Valdez City School District,15,,,,11
200800,2016-2017,Alaska,2,AK-10,Chugach School District,5,,,,5
400001,2016-2017,Arizona,4,AZ-4244,Cave Creek Unified District,4,,,,
400003,2016-2017,Arizona,4,AZ-4474,Chino Valley Unified District,237,5,,37,194
400004,2016-2017,Arizona,4,AZ-4486,Clarkdale-Jerome Elementary District,13,,,,12
400016,2016-2017,Arizona,4,AZ-4191,Center For Academic Success  Inc.,486,,,,467
400022,2016-2017,Arizona,4,AZ-4162,Vernon Elementary District,16,,4,,12
400033,2016-2017,Arizona,4,AZ-4305,Boys & Girls Clubs Of The East Valley Dba Mesa Arts Academy,16,,,,16
400041,2016-2017,Arizona,4,AZ-4314,Maricopa County Community College District Dba Gateway Early,6,,,,
400047,2016-2017,Arizona,4,AZ-4320,Salt River Pima-Maricopa  Community Schools,5,,,,
400052,2016-2017,Arizona,4,AZ-4335,Espiritu Community Development Corp.,23,,,,23
400055,2016-2017,Arizona,4,AZ-4341,Edupreneurship  Inc.,3,,,,
400077,2016-2017,Arizona,4,AZ-4400,Career Development  Inc.,12,,,,
400078,2016-2017,Arizona,4,AZ-4421,Edge School  Inc.  The,61,,,20,35
400082,2016-2017,Arizona,4,AZ-4381,Colorado River Union High School District,67,,,,60
400083,2016-2017,Arizona,4,AZ-4431,Portable Practical Educational Preparation  Inc. (Ppep  Inc.,159,5,,11,140
400099,2016-2017,Arizona,4,AZ-4216,Liberty High School,33,,,3,30
400102,2016-2017,Arizona,4,AZ-4303,Friendly House  Inc.,83,,,,
400103,2016-2017,Arizona,4,AZ-4323,Ombudsman Educational Services Ltd. A Subsidiary Of Educ 1,80,,3,25,52
400107,2016-2017,Arizona,4,AZ-4334,International Commerce Secondary Schools  Inc.,14,,,,14
400109,2016-2017,Arizona,4,AZ-4338,Phoenix Advantage Charter School  Inc.,20,,,,16
400112,2016-2017,Arizona,4,AZ-4348,American Leadership Academy  Inc.,21,3,,,18
400128,2016-2017,Arizona,4,AZ-4296,Academy Of Excellence  Inc.,122,,87,29,6
400144,2016-2017,Arizona,4,AZ-4300,Florence Crittenton Services Of Arizona  Inc.,3,,,,
400149,2016-2017,Arizona,4,AZ-4342,Kaizen Education Foundation Dba El Dorado High School,12,,,,
400150,2016-2017,Arizona,4,AZ-4463,Mexicayotl Academy  Inc.,7,,,,7
400151,2016-2017,Arizona,4,AZ-4366,New Horizon School For The Performing Arts,12,,,4,8
400153,2016-2017,Arizona,4,AZ-6379,Phoenix School Of Academic Excellence The,11,,,,7
400157,2016-2017,Arizona,4,AZ-4329,Edkey  Inc. - Sequoia Choice Schools,75,5,,58,12
400159,2016-2017,Arizona,4,AZ-6374,Tucson Preparatory School,53,,,10,20
400190,2016-2017,Arizona,4,AZ-10968,Liberty Traditional Charter School,34,,,,32
400191,2016-2017,Arizona,4,AZ-78783,Fit Kids  Inc. Dba Champion Schools,150,,,,150
400201,2016-2017,Arizona,4,AZ-4420,Pima County,33,,,,29
400204,2016-2017,Arizona,4,AZ-10879,Mountain Rose Academy  Inc.,20,,,,6
400209,2016-2017,Arizona,4,AZ-10970,Park View School  Inc.,17,,,4,12
400212,2016-2017,Arizona,4,AZ-79226,Benson Unified School District,9,,,,
400219,2016-2017,Arizona,4,AZ-79047,Career Success Schools,17,,,,15
400221,2016-2017,Arizona,4,AZ-79233,Kaizen Education Foundation Dba South Pointe Elementary Scho,53,,,,53
400225,2016-2017,Arizona,4,AZ-79264,Horizon Community Learning Center  Inc.,3,,,,3
400227,2016-2017,Arizona,4,AZ-78965,Kaizen Education Foundation Dba South Pointe Junior High Sch,32,,,,30
400235,2016-2017,Arizona,4,AZ-79214,Excalibur Charter Schools  Inc.,4,,,,4
400239,2016-2017,Arizona,4,AZ-6235,P.L.C. Charter Schools,10,4,,,6
400241,2016-2017,Arizona,4,AZ-5180,Paragon Management  Inc.,7,,,,
400244,2016-2017,Arizona,4,AZ-6446,Edkey  Inc. - Sequoia Charter School,102,3,,9,90
400246,2016-2017,Arizona,4,AZ-79211,Edkey  Inc. - Sequoia Village School,8,,,,8
400248,2016-2017,Arizona,4,AZ-79218,Telesis Center For Learning  Inc.,10,,,,10
400259,2016-2017,Arizona,4,AZ-79085,Southgate Academy  Inc.,7,,,3,3
400266,2016-2017,Arizona,4,AZ-79068,Pace Preparatory Academy  Inc.,3,,,,3
400276,2016-2017,Arizona,4,AZ-79213,Academy With Community Partners  Inc,26,,,9,17
400288,2016-2017,Arizona,4,AZ-79569,Premier Charter High School,46,,,,
400290,2016-2017,Arizona,4,AZ-79578,Pan-American Elementary Charter,27,,,9,16
400295,2016-2017,Arizona,4,AZ-79598,Kingman Unified School District,364,20,14,24,305
400310,2016-2017,Arizona,4,AZ-79055,Calibre Academy,13,,,,12
400311,2016-2017,Arizona,4,AZ-79059,E-Institute Charter Schools  Inc.,16,,,,13
400318,2016-2017,Arizona,4,AZ-79426,Aprender Tucson,42,,,,42
400320,2016-2017,Arizona,4,AZ-79437,Acorn Montessori Charter School,9,,,,
400322,2016-2017,Arizona,4,AZ-79441,Desert Rose Academy Inc.,17,,,5,4
400340,2016-2017,Arizona,4,AZ-10760,Noah Webster Schools - Mesa,6,,,,6
400350,2016-2017,Arizona,4,AZ-79866,Peak School Inc.  The,5,,,,3
400351,2016-2017,Arizona,4,AZ-79871,Kaizen Education Foundation Dba Vista Grove Preparatory Acad,20,,,,20
400352,2016-2017,Arizona,4,AZ-79873,American Charter Schools Foundation D.B.A. Estrella High Sch,19,,,,
400353,2016-2017,Arizona,4,AZ-79875,American Charter Schools Foundation D.B.A. Peoria Accelerate,82,,,66,
400354,2016-2017,Arizona,4,AZ-79877,American Charter Schools Foundation D.B.A. Sun Valley High S,14,,,,12
400355,2016-2017,Arizona,4,AZ-79879,American Charter Schools Foundation D.B.A. West Phoenix High,69,,,,69
400356,2016-2017,Arizona,4,AZ-79881,Nosotros  Inc,11,,,,11
400361,2016-2017,Arizona,4,AZ-79947,Arizona Community Development Corporation,37,,,3,30
400363,2016-2017,Arizona,4,AZ-79951,Sc Jensen Corporation  Inc. Dba Intelli-School,5,,,,
400364,2016-2017,Arizona,4,AZ-79953,Pas Charter  Inc.  Dba Intelli-School,8,,,,4
400370,2016-2017,Arizona,4,AZ-79994,Midtown Primary School,24,,,,
400373,2016-2017,Arizona,4,AZ-79979,Tucson International Academy  Inc.,20,,,,
400374,2016-2017,Arizona,4,AZ-79983,Bell Canyon Charter School  Inc,6,,,,
400382,2016-2017,Arizona,4,AZ-80032,Cplc Community Schools Dba Toltecalli High School,7,,,,
400383,2016-2017,Arizona,4,AZ-80299,Life Skills Center Of Arizona  Inc.,63,,,7,48
400384,2016-2017,Arizona,4,AZ-79872,American Charter Schools Foundation D.B.A. Desert Hills High,7,,,,
400385,2016-2017,Arizona,4,AZ-79874,American Charter Schools Foundation D.B.A. Crestview College,64,,,15,49
400386,2016-2017,Arizona,4,AZ-79876,Kaizen Education Foundation Dba Summit High School,33,,,3,30
400387,2016-2017,Arizona,4,AZ-79878,Kaizen Education Foundation Dba Tempe Accelerated High Schoo,19,,,,
400388,2016-2017,Arizona,4,AZ-79880,Kaizen Education Foundation Dba Skyview High School,7,,,,7
400389,2016-2017,Arizona,4,AZ-79882,Kaizen Education Foundation Dba Maya High School,138,,,25,108
400397,2016-2017,Arizona,4,AZ-79971,Cafa  Inc. Dba Learning Foundation Performing Arts School,32,,,6,26
400407,2016-2017,Arizona,4,AZ-85448,City Center For Collaborative Learning,4,,,,4
400414,2016-2017,Arizona,4,AZ-85540,Academy Of Building Industries  Inc.,9,,,,
400416,2016-2017,Arizona,4,AZ-85807,Starshine Academy,27,,,,27
400419,2016-2017,Arizona,4,AZ-87600,Gila County Regional School District,108,,,101,7
400424,2016-2017,Arizona,4,AZ-87399,Rosefield Charter Elementary School  Inc.,13,,,,
400425,2016-2017,Arizona,4,AZ-87401,East Mesa Charter Elementary School  Inc.,8,,,,8
400427,2016-2017,Arizona,4,AZ-87407,Arizona Connections Academy Charter School  Inc.,3,,,,
400429,2016-2017,Arizona,4,AZ-79074,Country Gardens Charter Schools,3,,,,3
400432,2016-2017,Arizona,4,AZ-87405,Portable Practical Educational Preparation  Inc. (Ppep  Inc.,35,4,,9,17
400446,2016-2017,Arizona,4,AZ-88374,Imagine Elementary At Tempe  Inc.,10,,,5,
400447,2016-2017,Arizona,4,AZ-88334,American Charter Schools Foundation D.B.A. South Ridge High,3,,,3,
400450,2016-2017,Arizona,4,AZ-4289,Agua Fria Union High School District,124,,,20,95
400600,2016-2017,Arizona,4,AZ-4280,Alhambra Elementary District,407,37,7,66,296
400610,2016-2017,Arizona,4,AZ-81099,Desert Heights Charter Schools,5,,,,
400618,2016-2017,Arizona,4,AZ-80989,American Charter Schools Foundation D.B.A. South Pointe High,131,,,30,98
400619,2016-2017,Arizona,4,AZ-80995,American Charter Schools Foundation D.B.A. Alta Vista High S,37,,,,37
400632,2016-2017,Arizona,4,AZ-81027,Cochise Community Development Corporation,41,,,26,
400633,2016-2017,Arizona,4,AZ-81029,Canyon Rose Academy  Inc.,20,,,,8
400636,2016-2017,Arizona,4,AZ-81041,Blueprint Education,7,,,,7
400637,2016-2017,Arizona,4,AZ-81043,Edkey  Inc. - Redwood Academy,12,,,,12
400641,2016-2017,Arizona,4,AZ-81052,Edkey  Inc. - Sequoia Ranch School,72,,,10,56
400649,2016-2017,Arizona,4,AZ-81076,Heritage Elementary School,24,,,,18
400653,2016-2017,Arizona,4,AZ-79981,Edkey  Inc. - Arizona Conservatory For Arts And Academics,7,,,,7
400766,2016-2017,Arizona,4,AZ-89786,Imagine Coolidge Elementary  Inc.,25,,,14,11
400770,2016-2017,Arizona,4,AZ-89790,Imagine Prep Surprise  Inc.,3,,,,3
400785,2016-2017,Arizona,4,AZ-89869,Az Compass Schools  Inc.,5,,,,5
400786,2016-2017,Arizona,4,AZ-90036,West Valley Arts And Technology Academy  Inc.,6,,,,6
400787,2016-2017,Arizona,4,AZ-90330,Kaizen Education Foundation Dba Vista Grove Preparatory Acad,108,6,,5,97
400789,2016-2017,Arizona,4,AZ-90334,Kaizen Education Foundation Dba Liberty Arts Academy,17,4,,3,10
400790,2016-2017,Arizona,4,AZ-4443,Apache Junction Unified District,26,,,7,14
400792,2016-2017,Arizona,4,AZ-90317,Vector School District  Inc.,12,,,,
400796,2016-2017,Arizona,4,AZ-90328,Cafa  Inc. Dba Learning Foundation And Performing Arts Alta,18,,,,11
400799,2016-2017,Arizona,4,AZ-90333,Kaizen Education Foundation Dba Gilbert Arts Academy,3,,,,3
400801,2016-2017,Arizona,4,AZ-90329,Skyline Gila River Schools  Llc,4,,,,4
400803,2016-2017,Arizona,4,AZ-90327,Cafa  Inc. Dba Learning Foundation And Performing Arts Gilbe,19,7,,6,5
400814,2016-2017,Arizona,4,AZ-90331,Cplc Community Schools Dba Hiaki High School,3,,,,
400817,2016-2017,Arizona,4,AZ-90506,Ed Ahead,3,,,,3
400823,2016-2017,Arizona,4,AZ-90548,Kaizen Education Foundation Dba Mission Heights Preparatory,7,,,,7
400839,2016-2017,Arizona,4,AZ-90997,Pima Rose Academy  Inc.,3,,,,
400842,2016-2017,Arizona,4,AZ-91137,Legacy Traditional School - Northwest Tucson,14,3,,,11
400846,2016-2017,Arizona,4,AZ-90540,South Valley Academy  Inc.,4,,,,4
400847,2016-2017,Arizona,4,AZ-91135,Legacy Traditional School - Avondale,3,,,,3
400853,2016-2017,Arizona,4,AZ-91108,South Phoenix Academy Inc.,6,,,,6
400871,2016-2017,Arizona,4,AZ-91763,Legacy Traditional Charter School - Laveen Village,9,,,,9
400872,2016-2017,Arizona,4,AZ-90876,Institute For Transformative Education  Inc.,17,,,,5
400876,2016-2017,Arizona,4,AZ-90884,George Gervin Youth Center  Inc.,13,,,,
400880,2016-2017,Arizona,4,AZ-92043,Southwest Leadership Academy,62,,,62,
400892,2016-2017,Arizona,4,AZ-92199,Legacy Traditional Charter Schools - Casa Grande,7,,,,
400895,2016-2017,Arizona,4,AZ-92250,Espiritu Community Development Corp.,57,,,,
400917,2016-2017,Arizona,4,AZ-92499,Innovative Humanities Education Corporation,4,,,,4
400921,2016-2017,Arizona,4,AZ-92620,Horizon Community Learning Center  Inc.,4,,,,4
400933,2016-2017,Arizona,4,AZ-92879,Legacy Traditional School - Surprise,3,,,,3
400938,2016-2017,Arizona,4,AZ-92369,Create Academy,16,,,,10
400948,2016-2017,Arizona,4,AZ-850100,Legacy Traditional School - Glendale,11,,,,
400952,2016-2017,Arizona,4,AZ-92989,Colegio Petite Phoenix,5,,,,
400957,2016-2017,Arizona,4,AZ-92991,Hope College And Career Readiness Academy,38,,,9,28
400960,2016-2017,Arizona,4,AZ-4272,Avondale Elementary District,421,8,,112,281
401000,2016-2017,Arizona,4,AZ-4468,Bagdad Unified District,37,,,,
401050,2016-2017,Arizona,4,AZ-4268,Balsz Elementary District,229,26,4,152,47
401160,2016-2017,Arizona,4,AZ-4515,Bicentennial Union High School District,12,,,7,5
401180,2016-2017,Arizona,4,AZ-4169,Bisbee Unified District,17,,,,17
401380,2016-2017,Arizona,4,AZ-4269,Buckeye Elementary District,14,,,,
401410,2016-2017,Arizona,4,AZ-4284,Buckeye Union High School District,22,,,,15
401460,2016-2017,Arizona,4,AZ-4175,Sierra Vista Unified District,91,4,,25,61
401500,2016-2017,Arizona,4,AZ-4378,Bullhead City School District,120,38,4,8,70
401600,2016-2017,Arizona,4,AZ-4470,Camp Verde Unified District,219,7,,,200
401650,2016-2017,Arizona,4,AZ-4484,Canon Elementary District,6,,,,
401680,2016-2017,Arizona,4,AZ-4282,Cartwright Elementary District,156,17,3,32,104
401710,2016-2017,Arizona,4,AZ-4446,Casa Grande Elementary District,188,62,,33,93
401740,2016-2017,Arizona,4,AZ-4453,Casa Grande Union High School District,132,23,,,87
401760,2016-2017,Arizona,4,AZ-4410,Catalina Foothills Unified District,4,,,,
401810,2016-2017,Arizona,4,AZ-4395,Cedar Unified District,6,,,,
401870,2016-2017,Arizona,4,AZ-4242,"Chandler Unified District #80",606,36,55,104,355
402190,2016-2017,Arizona,4,AZ-4160,Concho Elementary District,42,5,8,12,17
402320,2016-2017,Arizona,4,AZ-4442,Coolidge Unified District,69,,,20,35
402370,2016-2017,Arizona,4,AZ-4487,Cottonwood-Oak Creek Elementary District,106,12,12,20,61
402400,2016-2017,Arizona,4,AZ-4501,Crane Elementary District,124,4,5,12,103
402430,2016-2017,Arizona,4,AZ-4263,Creighton Elementary District,566,,,,127
402530,2016-2017,Arizona,4,AZ-4174,Douglas Unified District,57,4,,19,34
402690,2016-2017,Arizona,4,AZ-4243,Dysart Unified District,133,10,,13,56
402860,2016-2017,Arizona,4,AZ-4192,Flagstaff Unified District,329,89,37,93,106
402920,2016-2017,Arizona,4,AZ-4437,Florence Unified School District,38,,,,
403010,2016-2017,Arizona,4,AZ-4405,Flowing Wells Unified District,125,8,6,10,101
403060,2016-2017,Arizona,4,AZ-4273,Fowler Elementary District,185,36,,6,141
403240,2016-2017,Arizona,4,AZ-4505,Gadsden Elementary District,59,8,5,5,41
403310,2016-2017,Arizona,4,AZ-4238,Gila Bend Unified District,4,,,,
403400,2016-2017,Arizona,4,AZ-4239,Gilbert Unified District,185,17,3,3,162
403420,2016-2017,Arizona,4,AZ-4271,Glendale Elementary District,197,,,33,129
403450,2016-2017,Arizona,4,AZ-4285,Glendale Union High School District,407,20,9,101,239
403780,2016-2017,Arizona,4,AZ-4248,Higley Unified School District,118,7,,51,60
403820,2016-2017,Arizona,4,AZ-4389,Holbrook Unified District,26,18,,3,3
403860,2016-2017,Arizona,4,AZ-4234,Maricopa County Regional District,2299,,,2150,6
403870,2016-2017,Arizona,4,AZ-4469,Humboldt Unified District,349,8,9,96,236
403950,2016-2017,Arizona,4,AZ-4412,"Baboquivari Unified School District #40",105,,,,
403960,2016-2017,Arizona,4,AZ-4259,Isaac Elementary District,58,10,,18,30
403990,2016-2017,Arizona,4,AZ-4445,J O Combs Unified School District,61,,,,47
404010,2016-2017,Arizona,4,AZ-4388,Joseph City Unified District,4,,,,4
404060,2016-2017,Arizona,4,AZ-4396,"Kayenta Unified School District # 27",28,,,6,22
404170,2016-2017,Arizona,4,AZ-4480,Kirkland Elementary District,4,,,,4
404230,2016-2017,Arizona,4,AZ-4267,Kyrene Elementary District,127,25,,,96
404280,2016-2017,Arizona,4,AZ-4368,Lake Havasu Unified District,24,10,3,6,5
404290,2016-2017,Arizona,4,AZ-4276,Laveen Elementary District,73,11,3,15,43
404320,2016-2017,Arizona,4,AZ-4266,Liberty Elementary District,44,5,,,36
404380,2016-2017,Arizona,4,AZ-4281,Litchfield Elementary District,34,,,,34
404440,2016-2017,Arizona,4,AZ-4278,Littleton Elementary District,248,,,75,159
404500,2016-2017,Arizona,4,AZ-4270,Madison Elementary District,7,,,,
404570,2016-2017,Arizona,4,AZ-4439,Mammoth-San Manuel Unified District,4,,,,
404630,2016-2017,Arizona,4,AZ-4404,Marana Unified District,359,18,4,86,251
404720,2016-2017,Arizona,4,AZ-4441,Maricopa Unified School District,161,7,4,40,61
404770,2016-2017,Arizona,4,AZ-4418,Altar Valley Elementary District,44,,3,4,37
404820,2016-2017,Arizona,4,AZ-4473,Mayer Unified School District,140,,14,13,112
404970,2016-2017,Arizona,4,AZ-4235,Mesa Unified District,968,172,37,135,623
405030,2016-2017,Arizona,4,AZ-4211,Miami Unified District,104,,,,104
405070,2016-2017,Arizona,4,AZ-4488,Mingus Union High School District,13,,,,10
405100,2016-2017,Arizona,4,AZ-4253,Mobile Elementary District,5,,,,
405190,2016-2017,Arizona,4,AZ-4379,Mohave Valley Elementary District,18,,,4,14
405400,2016-2017,Arizona,4,AZ-4265,Murphy Elementary District,87,,22,5,60
405530,2016-2017,Arizona,4,AZ-4457,Nogales Unified District,232,,,,221
405670,2016-2017,Arizona,4,AZ-4262,Osborn Elementary District,256,115,,,116
405820,2016-2017,Arizona,4,AZ-4196,Page Unified District,102,,,20,68
405850,2016-2017,Arizona,4,AZ-4275,Palo Verde Elementary District,11,,,11,
405880,2016-2017,Arizona,4,AZ-4180,Palominas Elementary District,9,,,,
405930,2016-2017,Arizona,4,AZ-4241,Paradise Valley Unified District,366,24,6,25,311
405980,2016-2017,Arizona,4,AZ-4510,Parker Unified School District,21,,,14,3
406070,2016-2017,Arizona,4,AZ-4209,Payson Unified District,492,3,54,26,400
406210,2016-2017,Arizona,4,AZ-4283,Pendergast Elementary District,205,,,11,184
