year,coc_number,coc_number_and_name,pprn,estimated_ard,tier_1,bonus,dv_bonus,coc_planning
2019,AK-500,AK-500-ANCHORAGE,1264986,3784364,3610858,189218,126499,113531
2019,AK-501,AK-501-ALASKA BALANCE OF STATE,792338,790036,749696,39617,79234,23770
2019,AL-500,"AL-500-BIRMINGHAM,JEFFERSON,ST.CLAIR,SHELBY COUNTIES",6587951,9223098,8676439,461155,658795,276693
2019,AL-501,"AL-501-MOBILE CITY & COUNTY,BALDWIN COUNTY",3110886,3699553,3477581,184978,311089,110987
2019,AL-502,"AL-502-FLORENCE,NORTHWEST ALABAMA",595732,419114,393968,44155,59573,17872
2019,AL-503,"AL-503-HUNTSVILLE,NORTH ALABAMA",942862,636987,598768,76469,94286,28286
2019,AL-504,AL-504-MONTGOMERY CITY & COUNTY,1623396,1196145,1127942,106813,162340,48702
2019,AL-506,AL-506-TUSCALOOSA CITY & COUNTY,400316,203299,191101,49254,50000,12009
2019,AL-507,AL-507-ALABAMA BALANCE OF STATE,3699879,1066686,1002685,658298,369988,110996
2019,AR-500,"AR-500-LITTLE ROCK,CENTRAL ARKANSAS",1680647,3076941,2892323,153847,168065,92308
2019,AR-501,"AR-501-FAYETTEVILLE,NORTHWEST ARKANSAS",1114200,323438,304031,197691,111420,33426
2019,AR-503,AR-503-ARKANSAS BALANCE OF STATE,2300091,308348,289847,497936,230009,69003
2019,AR-504,AR-504-DELTA HILLS,867881,0,0,216970,86788,26036
2019,AR-505,AR-505-SOUTHEAST ARKANSAS,847475,247942,233065,149883,84748,25424
2019,AS-500,AS-500-AMERICAN SAMOA,459338,0,0,114835,50000,13780
2019,AZ-500,AZ-500-ARIZONA BALANCE OF STATE,3821458,3912060,3700198,195603,382146,117362
2019,AZ-501,"AZ-501-TUCSON,PIMA COUNTY",6172731,8334299,7837867,416715,617273,250029
2019,AZ-502,"AZ-502-PHOENIX,MESA,MARICOPA COUNTY REGIONAL",20654277,26505040,24930930,1325252,2065428,795151
2019,CA-500,"CA-500-SAN JOSE,SANTA CLARA CITY & COUNTY",8861044,25405437,23981405,1270272,886104,762163
2019,CA-501,CA-501-SAN FRANCISCO,13293659,44862542,42370572,2243127,1329366,1345876
2019,CA-502,"CA-502-OAKLAND,BERKELEY,ALAMEDA COUNTY",10619719,36618328,34615928,1830916,1061972,1098550
2019,CA-503,CA-503-SACRAMENTO CITY & COUNTY,8352246,20327219,19149583,1016361,835225,609817
2019,CA-504,"CA-504-SANTA ROSA,PETALUMA,SONOMA COUNTY",1837011,3624821,3419646,181241,183701,108745
2019,CA-505,"CA-505-RICHMOND,CONTRA COSTA COUNTY",4170806,15430571,14590716,771529,417081,462917
2019,CA-506,"CA-506-SALINAS,MONTEREY,SAN BENITO COUNTIES",2225238,1786579,1679386,111262,222524,66757
2019,CA-507,CA-507-MARIN COUNTY,400442,4370656,4111490,218533,50000,131120
2019,CA-508,"CA-508-WATSONVILLE,SANTA CRUZ CITY & COUNTY",795310,3008490,2858724,150425,79531,90255
2019,CA-509,CA-509-MENDOCINO COUNTY,344560,1572595,1478239,78630,50000,47178
2019,CA-510,"CA-510-TURLOCK,MODESTO,STANISLAUS COUNTY",3395838,3296809,3099002,169792,339584,101875
2019,CA-511,"CA-511-STOCKTON,SAN JOAQUIN COUNTY",4667954,4352004,4090885,233398,466795,140039
2019,CA-512,"CA-512-DALY CITY,SAN MATEO COUNTY",2707884,12409563,11681215,620478,270788,372287
2019,CA-513,"CA-513-VISALIA,KINGS,TULARE COUNTIES",2241690,2287218,2162921,114361,224169,68617
2019,CA-514,"CA-514-FRESNO,MADERA COUNTY",7843054,10459761,9933213,522988,784305,313793
2019,CA-515,"CA-515-ROSEVILLE,ROCKLIN,PLACER,NEVADA COUNTIES",620865,1079711,1014927,53986,62087,32391
2019,CA-516,"CA-516-REDDING,SHASTA,SISKIYOU,LASSEN,PLUMAS,DEL NORTE,MODOC,SIERRA COUNTIES",1020786,323603,307895,174296,102079,30624
2019,CA-517,CA-517-NAPA CITY & COUNTY,337498,718075,674991,35904,50000,21542
2019,CA-518,"CA-518-VALLEJO,SOLANO COUNTY",866795,1425556,1356146,71278,86680,42767
2019,CA-519,"CA-519-CHICO,PARADISE,BUTTE COUNTY",617687,578796,549868,30884,61769,18531
2019,CA-520,CA-520-MERCED CITY & COUNTY,964641,721588,678292,60763,96464,28939
2019,CA-521,"CA-521-DAVIS,WOODLAND,YOLO COUNTY",536085,481697,452795,26804,53609,16083
2019,CA-522,CA-522-HUMBOLDT COUNTY,658532,836284,795975,41814,65853,25089
2019,CA-523,"CA-523-COLUSA,GLENN,TRINITY COUNTIES",222960,0,0,55740,50000,6689
2019,CA-524,"CA-524-YUBA CITY AND COUNTY,SUTTER COUNTY",518255,0,0,129564,51826,15548
2019,CA-525,CA-525-EL DORADO COUNTY,344537,9817,9228,83680,50000,10336
2019,CA-526,"CA-526-TUOLUMNE,CALAVERAS,AMADOR COUNTIES",467065,406899,382591,23353,50000,14012
2019,CA-527,CA-527-TEHAMA COUNTY,201166,0,0,50292,50000,6035
2019,CA-529,CA-529-LAKE COUNTY,209334,0,0,52334,50000,6280
2019,CA-530,"CA-530-INYO,MONO,ALPINE COUNTIES",98744,0,0,24686,50000,2962
2019,CA-531,CA-531-NEVADA COUNTY,281740,175026,164524,26679,50000,8452
2019,CA-600,CA-600-LOS ANGELES CITY & COUNTY,68961451,122457061,115481855,6122853,5000000,3673712
2019,CA-601,CA-601-SAN DIEGO CITY AND COUNTY,17172716,20809562,19630686,1040478,1717272,624287
2019,CA-602,"CA-602-SANTA ANA,ANAHEIM,ORANGE COUNTY",14414374,23388929,21985593,1169446,1441437,701668
2019,CA-603,"CA-603-SANTA MARIA,SANTA BARBARA COUNTY",1720438,1945236,1842121,97262,172044,58357
2019,CA-604,"CA-604-BAKERSFIELD,KERN COUNTY",6376972,5745883,5415340,318849,637697,191309
2019,CA-606,CA-606-LONG BEACH,4470188,8077755,7614612,403888,447019,242333
2019,CA-607,CA-607-PASADENA,1454738,3466789,3267453,173339,145474,104004
2019,CA-608,CA-608-RIVERSIDE CITY & COUNTY,11416428,9754646,9169368,570821,1141643,342493
2019,CA-609,CA-609-SAN BERNARDINO CITY & COUNTY,12422887,9767625,9181568,663816,1242289,372687
2019,CA-611,"CA-611-OXNARD,SAN BUENAVENTURA,VENTURA COUNTY",3716410,2180607,2057711,383951,371641,111492
2019,CA-612,CA-612-GLENDALE,1357666,2373290,2230893,118665,135767,71199
2019,CA-613,CA-613-IMPERIAL COUNTY,611746,165691,155750,111514,61175,18352
2019,CA-614,CA-614-SAN LUIS OBISPO COUNTY,1401963,939693,883311,115568,140196,42059
2019,CO-500,CO-500-COLORADO BALANCE OF STATE,3438614,2980923,2802068,171931,343861,103158
2019,CO-503,CO-503-METROPOLITAN DENVER,10386977,26458606,24892334,1322930,1038698,793758
2019,CO-504,"CO-504-COLORADO SPRINGS,EL PASO COUNTY",2456093,2335663,2195522,122805,245609,73683
2019,CT-503,"CT-503-BRIDGEPORT,STRATFORD,FAIRFIELD",3922727,12730594,12053822,636530,392273,381918
2019,CT-505,CT-505-CONNECTICUT BALANCE OF STATE,13117260,39707468,37636788,1985373,1311726,1191224
2019,DC-500,DC-500-DISTRICT OF COLUMBIA,11156461,22010757,20844927,1100538,1115646,660323
2019,DE-500,DE-500-DELAWARE STATEWIDE,3975272,8017797,7550244,400890,397527,240534
2019,FL-500,"FL-500-SARASOTA,BRADENTON,MANATEE,SARASOTA COUNTIES",2822511,884214,854237,484574,282251,84675
2019,FL-501,"FL-501-TAMPA,HILLSBOROUGH COUNTY",7418253,6136796,5803532,370913,741825,222548
2019,FL-502,"FL-502-ST.PETERSBURG,CLEARWATER,LARGO,PINELLAS COUNTY",3423641,4010705,3770061,200535,342364,120321
2019,FL-503,"FL-503-LAKELAND,WINTERHAVEN,POLK COUNTY",2824428,1893571,1797612,232714,282443,84733
2019,FL-504,"FL-504-DAYTONA BEACH,DAYTONA,VOLUSIA,FLAGLER COUNTIES",1962307,1362212,1280479,150024,196231,58869
2019,FL-505,"FL-505-FORT WALTON BEACH,OKALOOSA,WALTON COUNTIES",519763,658416,618911,32921,51976,19752
2019,FL-506,"FL-506-TALLAHASSEE,LEON COUNTY",2143301,1385763,1305473,189385,214330,64299
2019,FL-507,"FL-507-ORLANDO,ORANGE,OSCEOLA,SEMINOLE COUNTIES",8506448,7829344,7360552,425322,850645,255193
2019,FL-508,"FL-508-GAINESVILLE,ALACHUA,PUTNAM COUNTIES",1161583,670363,630140,122805,116158,34847
2019,FL-509,"FL-509-FORT PIERCE,ST.LUCIE,INDIAN RIVER,MARTIN COUNTIES",1166966,1661189,1561519,83059,116697,49836
2019,FL-510,"FL-510-JACKSONVILLE-DUVAL,CLAY COUNTIES",5174318,4508181,4267453,258716,517432,155230
2019,FL-511,"FL-511-PENSACOLA,ESCAMBIA,SANTA ROSA COUNTY",1637792,762337,722448,218864,163779,49134
2019,FL-512,FL-512-SAINT JOHNS COUNTY,246433,126214,118942,30055,50000,7393
2019,FL-513,"FL-513-PALM BAY,MELBOURNE,BREVARD COUNTY",849794,717886,677753,42490,84979,25494
2019,FL-514,"FL-514-OCALA,MARION COUNTY",1501547,244761,230076,314197,150155,45046
2019,FL-515,"FL-515-PANAMA CITY,BAY,JACKSON COUNTIES",774341,30765,28919,185894,77434,23230
2019,FL-517,"FL-517-HENDRY,HARDEE,HIGHLANDS COUNTIES",812176,160123,150516,163013,81218,24365
2019,FL-518,"FL-518-COLUMBIA,HAMILTON,LAFAYETTE,SUWANNEE COUNTIES",401109,349022,328081,20055,50000,12033
2019,FL-519,FL-519-PASCO COUNTY,2129232,850289,799273,319736,212923,63877
2019,FL-520,"FL-520-CITRUS,HERNANDO,LAKE,SUMTER COUNTIES",1182211,394161,374760,197013,118221,35466
2019,FL-600,"FL-600-MIAMI,DADE COUNTY",16583716,30586660,28863148,1529333,1658372,917600
2019,FL-601,"FL-601-FT LAUDERDALE,BROWARD COUNTY",5610421,10970949,10375950,548547,561042,329128
2019,FL-602,"FL-602-PUNTA GORDA,CHARLOTTE COUNTY",294012,250568,238534,14701,50000,8820
2019,FL-603,"FL-603-FT MYERS,CAPE CORAL,LEE COUNTY",2656082,1760581,1658251,223875,265608,79682
2019,FL-604,FL-604-MONROE COUNTY,459160,477526,448874,23876,50000,14326
2019,FL-605,"FL-605-WEST PALM BEACH,PALM BEACH COUNTY",5589236,5630604,5292769,281530,558924,168918
2019,FL-606,"FL-606-NAPLES,COLLIER COUNTY",1730437,270734,263557,364926,173044,51913
